,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,cond_all
493,221,Bull,1.3201151,1.3191249,1.320035,362,Bear,1.32752,1.3259399,1.32721,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
495,221,Bull,1.3201151,1.3191249,1.320035,362,Bear,1.32752,1.3259399,1.32721,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
496,221,Bull,1.3201151,1.3191249,1.320035,362,Bear,1.32752,1.3259399,1.32721,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
497,221,Bull,1.3201151,1.3191249,1.320035,362,Bear,1.32752,1.3259399,1.32721,367,Bull,1.32567,1.3240349,1.32516,422,Bear,1.34203,1.3403,1.34041,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
530,260,Bull,1.3243,1.3172,1.323875,273,Bear,1.330305,1.32646,1.32988,322,Bull,1.32067,1.3173549,1.3185151,397,Bear,1.3436,1.3419199,1.34288,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
531,260,Bull,1.3243,1.3172,1.323875,273,Bear,1.330305,1.32646,1.32988,322,Bull,1.32067,1.3173549,1.3185151,397,Bear,1.3436,1.3419199,1.34288,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
533,260,Bull,1.3243,1.3172,1.323875,273,Bear,1.330305,1.32646,1.32988,322,Bull,1.32067,1.3173549,1.3185151,400,Bear,1.3438151,1.340575,1.3410101,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
534,260,Bull,1.3243,1.3172,1.323875,273,Bear,1.330305,1.32646,1.32988,322,Bull,1.32067,1.3173549,1.3185151,400,Bear,1.3438151,1.340575,1.3410101,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
535,260,Bull,1.3243,1.3172,1.323875,273,Bear,1.330305,1.32646,1.32988,322,Bull,1.32067,1.3173549,1.3185151,422,Bear,1.34203,1.3403,1.34041,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
540,260,Bull,1.3243,1.3172,1.323875,273,Bear,1.330305,1.32646,1.32988,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
541,260,Bull,1.3243,1.3172,1.323875,273,Bear,1.330305,1.32646,1.32988,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
543,260,Bull,1.3243,1.3172,1.323875,273,Bear,1.330305,1.32646,1.32988,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
544,260,Bull,1.3243,1.3172,1.323875,273,Bear,1.330305,1.32646,1.32988,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
545,260,Bull,1.3243,1.3172,1.323875,273,Bear,1.330305,1.32646,1.32988,367,Bull,1.32567,1.3240349,1.32516,422,Bear,1.34203,1.3403,1.34041,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
575,260,Bull,1.3243,1.3172,1.323875,278,Bear,1.33746,1.334625,1.33568,322,Bull,1.32067,1.3173549,1.3185151,397,Bear,1.3436,1.3419199,1.34288,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
