sn,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,cond_all
1979,1814,Bear,1.3913,1.3876,1.388,1827,Bull,1.3805,1.3793,1.3797,1839,Bear,1.3854,1.3819,1.383,1914,Bull,1.3662,1.3641,1.3656,1929,Bear,1.3693,1.3679,1.3685,1958,Bull,1.3639,1.3616,1.3634,TRUE
2015,1814,Bear,1.3913,1.3876,1.388,1863,Bull,1.3778,1.3764,1.3768,1881,Bear,1.3813,1.3786,1.3795,1914,Bull,1.3662,1.3641,1.3656,1929,Bear,1.3693,1.3679,1.3685,1958,Bull,1.3639,1.3616,1.3634,TRUE
2063,1839,Bear,1.3854,1.3819,1.383,1863,Bull,1.3778,1.3764,1.3768,1881,Bear,1.3813,1.3786,1.3795,1914,Bull,1.3662,1.3641,1.3656,1929,Bear,1.3693,1.3679,1.3685,1958,Bull,1.3639,1.3616,1.3634,TRUE
1967,1814,Bear,1.3913,1.3876,1.388,1827,Bull,1.3805,1.3793,1.3797,1839,Bear,1.3854,1.3819,1.383,1914,Bull,1.3662,1.3641,1.3656,1929,Bear,1.3693,1.3679,1.3685,1964,Bull,1.3649,1.361,1.3619,TRUE
2021,1814,Bear,1.3913,1.3876,1.388,1863,Bull,1.3778,1.3764,1.3768,1881,Bear,1.3813,1.3786,1.3795,1914,Bull,1.3662,1.3641,1.3656,1929,Bear,1.3693,1.3679,1.3685,1964,Bull,1.3649,1.361,1.3619,TRUE
2093,1839,Bear,1.3854,1.3819,1.383,1863,Bull,1.3778,1.3764,1.3768,1881,Bear,1.3813,1.3786,1.3795,1914,Bull,1.3662,1.3641,1.3656,1929,Bear,1.3693,1.3679,1.3685,1964,Bull,1.3649,1.361,1.3619,TRUE
213,1814,Bear,1.3913,1.3876,1.388,1827,Bull,1.3805,1.3793,1.3797,1839,Bear,1.3854,1.3819,1.383,1964,Bull,1.3649,1.361,1.3619,1985,Bear,1.3751,1.3738,1.3745,2059,Bull,1.3538,1.3521,1.3532,TRUE
214,1814,Bear,1.3913,1.3876,1.388,1827,Bull,1.3805,1.3793,1.3797,1839,Bear,1.3854,1.3819,1.383,1964,Bull,1.3649,1.361,1.3619,2031,Bear,1.3729,1.3704,1.3707,2059,Bull,1.3538,1.3521,1.3532,TRUE
215,1814,Bear,1.3913,1.3876,1.388,1827,Bull,1.3805,1.3793,1.3797,1839,Bear,1.3854,1.3819,1.383,1964,Bull,1.3649,1.361,1.3619,2046,Bear,1.3717,1.371,1.3714,2059,Bull,1.3538,1.3521,1.3532,TRUE
571,1814,Bear,1.3913,1.3876,1.388,1863,Bull,1.3778,1.3764,1.3768,1881,Bear,1.3813,1.3786,1.3795,1964,Bull,1.3649,1.361,1.3619,1985,Bear,1.3751,1.3738,1.3745,2059,Bull,1.3538,1.3521,1.3532,TRUE
572,1814,Bear,1.3913,1.3876,1.388,1863,Bull,1.3778,1.3764,1.3768,1881,Bear,1.3813,1.3786,1.3795,1964,Bull,1.3649,1.361,1.3619,2031,Bear,1.3729,1.3704,1.3707,2059,Bull,1.3538,1.3521,1.3532,TRUE
573,1814,Bear,1.3913,1.3876,1.388,1863,Bull,1.3778,1.3764,1.3768,1881,Bear,1.3813,1.3786,1.3795,1964,Bull,1.3649,1.361,1.3619,2046,Bear,1.3717,1.371,1.3714,2059,Bull,1.3538,1.3521,1.3532,TRUE
1241,1839,Bear,1.3854,1.3819,1.383,1863,Bull,1.3778,1.3764,1.3768,1881,Bear,1.3813,1.3786,1.3795,1964,Bull,1.3649,1.361,1.3619,1985,Bear,1.3751,1.3738,1.3745,2059,Bull,1.3538,1.3521,1.3532,TRUE
1242,1839,Bear,1.3854,1.3819,1.383,1863,Bull,1.3778,1.3764,1.3768,1881,Bear,1.3813,1.3786,1.3795,1964,Bull,1.3649,1.361,1.3619,2031,Bear,1.3729,1.3704,1.3707,2059,Bull,1.3538,1.3521,1.3532,TRUE
1243,1839,Bear,1.3854,1.3819,1.383,1863,Bull,1.3778,1.3764,1.3768,1881,Bear,1.3813,1.3786,1.3795,1964,Bull,1.3649,1.361,1.3619,2046,Bear,1.3717,1.371,1.3714,2059,Bull,1.3538,1.3521,1.3532,TRUE
1036,1839,Bear,1.3854,1.3819,1.383,1863,Bull,1.3778,1.3764,1.3768,1881,Bear,1.3813,1.3786,1.3795,2059,Bull,1.3538,1.3521,1.3532,2071,Bear,1.3555,1.3534,1.3539,2081,Bull,1.3442,1.3412,1.3424,TRUE
1277,1839,Bear,1.3854,1.3819,1.383,1964,Bull,1.3649,1.361,1.3619,1985,Bear,1.3751,1.3738,1.3745,2059,Bull,1.3538,1.3521,1.3532,2071,Bear,1.3555,1.3534,1.3539,2081,Bull,1.3442,1.3412,1.3424,TRUE
1278,1839,Bear,1.3854,1.3819,1.383,1964,Bull,1.3649,1.361,1.3619,2031,Bear,1.3729,1.3704,1.3707,2059,Bull,1.3538,1.3521,1.3532,2071,Bear,1.3555,1.3534,1.3539,2081,Bull,1.3442,1.3412,1.3424,TRUE
1279,1839,Bear,1.3854,1.3819,1.383,1964,Bull,1.3649,1.361,1.3619,2046,Bear,1.3717,1.371,1.3714,2059,Bull,1.3538,1.3521,1.3532,2071,Bear,1.3555,1.3534,1.3539,2081,Bull,1.3442,1.3412,1.3424,TRUE
1669,1881,Bear,1.3813,1.3786,1.3795,1964,Bull,1.3649,1.361,1.3619,1985,Bear,1.3751,1.3738,1.3745,2059,Bull,1.3538,1.3521,1.3532,2071,Bear,1.3555,1.3534,1.3539,2081,Bull,1.3442,1.3412,1.3424,TRUE
1670,1881,Bear,1.3813,1.3786,1.3795,1964,Bull,1.3649,1.361,1.3619,2031,Bear,1.3729,1.3704,1.3707,2059,Bull,1.3538,1.3521,1.3532,2071,Bear,1.3555,1.3534,1.3539,2081,Bull,1.3442,1.3412,1.3424,TRUE
1671,1881,Bear,1.3813,1.3786,1.3795,1964,Bull,1.3649,1.361,1.3619,2046,Bear,1.3717,1.371,1.3714,2059,Bull,1.3538,1.3521,1.3532,2071,Bear,1.3555,1.3534,1.3539,2081,Bull,1.3442,1.3412,1.3424,TRUE
